"Dates"	"Value"	"Modif"
2005-05-20	23.3329619385502	"SI"
2005-05-21	23.8656598921007	"SI"
2005-05-22	24.0429022243487	"SI"
2005-05-23	24.2352475807187	"SI"
2005-05-24	24.2856687051221	"SI"
2005-05-25	23.4742152037717	"SI"
2005-05-26	22.3958144273619	"SI"
2005-05-27	23.2030232134927	"SI"
2005-05-28	23.4797663725947	"SI"
2005-05-29	23.8652894151026	"SI"
2005-05-30	23.9053924061963	"SI"
2005-05-31	24.9139216274714	"SI"
2005-06-01	23.2111331306847	"SI"
2005-06-02	24.1363955377702	"SI"
2005-06-03	23.7188108942965	"SI"
2005-06-04	22.5371905764651	"SI"
2005-06-05	22.9823616630225	"SI"
2005-06-06	24.5261801245552	"SI"
2005-06-07	23.2419687189918	"SI"
2005-06-08	24.8419956103079	"SI"
2005-06-09	23.9355681300241	"SI"
2005-06-10	24.226157338401	"SI"
2005-06-11	25.1990541946328	"SI"
2005-06-12	23.6201125339051	"SI"
2005-06-13	24.9871332238381	"SI"
2005-06-14	25.212246330784	"SI"
2005-06-15	22.6153882638464	"SI"
2005-06-16	24.4241942492884	"SI"
2005-06-17	24.7358448450238	"SI"
2005-06-18	23.4985169947923	"SI"
2005-06-19	23.5241158651054	"SI"
2005-06-20	24.9759911216186	"SI"
2005-06-21	22.1013321301039	"SI"
2005-06-22	23.4454099189175	"SI"
2005-06-23	23.8984716927907	"SI"
2005-06-24	24.9879008108757	"SI"
2005-06-25	23.0258992939923	"SI"
2005-06-26	23.6002650723026	"SI"
2005-06-27	24.0046558836832	"SI"
2005-06-28	24.0290437793315	"SI"
2005-06-29	23.6308936957594	"SI"
2005-06-30	23.6011656109898	"SI"
2005-07-01	22.1783504822363	"SI"
2005-07-02	22.8805448555844	"SI"
2005-07-03	23.8731393659483	"SI"
2005-07-04	23.1336601536388	"SI"
2005-07-05	23.7912960352803	"SI"
2005-07-06	23.1678045781951	"SI"
2005-07-07	23.8202143225593	"SI"
2005-07-08	23.9929384608503	"SI"
2005-07-09	25.5032023568164	"SI"
2005-07-10	23.8057882596089	"SI"
2005-07-11	23.7276066839526	"SI"
2005-07-12	22.8112592850408	"SI"
2005-07-13	23.2983956035712	"SI"
2005-07-14	24.350465292584	"SI"
2005-07-15	22.6186115048604	"SI"
2005-07-16	23.5552145592476	"SI"
2005-07-17	23.8001667383694	"SI"
2005-07-18	23.3044603610488	"SI"
2005-07-19	22.5472666834266	"SI"
2005-07-20	23.0752416858926	"SI"
2005-07-21	23.5194510622814	"SI"
2005-07-22	22.7575653566999	"SI"
2005-07-23	23.2985848036028	"SI"
2005-07-24	22.9407016552193	"SI"
2005-07-25	23.7438852494744	"SI"
2005-07-26	23.6252472484822	"SI"
2005-07-27	22.7595228942689	"SI"
2005-07-28	24.1790051475696	"SI"
2005-07-29	23.3480715595984	"SI"
2005-07-30	23.4502872901343	"SI"
2005-07-31	22.9975645750052	"SI"
2005-08-01	23.7678719201175	"SI"
2005-08-02	23.3429008357331	"SI"
2005-08-03	22.7589192199983	"SI"
2005-08-04	24.0793553886772	"SI"
2005-08-05	23.8277551815352	"SI"
2005-08-06	22.8391932410039	"SI"
2005-08-07	23.587468057551	"SI"
2005-08-08	22.6148699196681	"SI"
2005-08-09	23.5198335893644	"SI"
2005-08-10	23.8910243357258	"SI"
2005-08-11	22.9915536553475	"SI"
2005-08-12	25.602200137442	"SI"
2005-08-13	25.293487888152	"SI"
2005-08-14	23.1096723729442	"SI"
2005-08-15	23.0350813168757	"SI"
2005-08-16	23.5647486885546	"SI"
2005-08-17	24.7056899740671	"SI"
2005-08-18	23.4116053463652	"SI"
2005-08-19	21.8703809942825	"SI"
2005-08-20	21.6634619772856	"SI"
2005-08-21	21.602175259096	"SI"
2005-08-22	22.7854338672681	"SI"
2005-08-23	25.0091056002596	"SI"
2005-08-24	23.2617020307405	"SI"
2005-08-25	23.4941018411914	"SI"
2005-08-26	23.2031221211585	"SI"
2005-08-27	24.1598169044402	"SI"
2005-08-28	22.800535793371	"SI"
2005-08-29	23.4313941695777	"SI"
2005-08-30	23.8305818741032	"SI"
2005-08-31	22.8534085164571	"SI"
2005-09-01	23.4005967066297	"SI"
2005-09-02	24.8505576211287	"SI"
2005-09-03	22.9031864038527	"SI"
2005-09-04	22.4000929860994	"SI"
2005-09-05	23.201223284205	"SI"
2005-09-06	23.3074552635244	"SI"
2005-09-07	23.9000813236594	"SI"
2005-09-08	23.3999346305099	"SI"
2005-09-09	22.5495076242874	"SI"
2005-09-10	23.104916934983	"SI"
2005-09-11	23.2062193069164	"SI"
2005-09-12	25.7508181045047	"SI"
2005-09-13	23.4993238208834	"SI"
2005-09-14	22.4996104378755	"SI"
2005-09-15	23.4988243043661	"SI"
2005-09-16	23.5532131009629	"SI"
2005-09-17	21.5538119542132	"SI"
2005-09-18	21.49697008321	"SI"
2005-09-19	23.5993739989525	"SI"
2005-09-20	23.1020093874114	"SI"
2005-09-21	23.6949993005077	"SI"
2005-09-22	23.2044759875175	"SI"
2005-09-23	22.3928638703377	"SI"
2005-09-24	25.4563228525775	"SI"
2005-09-25	24.4915481530621	"SI"
2005-09-26	20.3982394084982	"SI"
2005-09-27	20.5959919431722	"SI"
2005-09-28	22.3998180269139	"SI"
2005-09-29	23.7357637136883	"SI"
2005-09-30	22.6427192965446	"SI"
2005-10-01	23.5104150472483	"SI"
2005-10-02	24.9043412877113	"SI"
2005-10-03	22.1089838383525	"SI"
2005-10-04	23.2085182215435	"SI"
2005-10-05	23.2473565227769	"SI"
2005-10-06	22.8498160442635	"SI"
2005-10-07	23.9134657102919	"SI"
2005-10-08	24.4961807800429	"SI"
2005-10-09	23.6068832391522	"SI"
2005-10-10	23.4111229599016	"SI"
2005-10-11	23.3389750790663	"SI"
2005-10-12	23.4554364738173	"SI"
2005-10-13	24.5023937498609	"SI"
2005-10-14	23.1875578501534	"SI"
2005-10-15	22.1388598051654	"SI"
2005-10-16	22.0496839250412	"SI"
2005-10-17	22.5887406751851	"SI"
2005-10-18	22.3948771656414	"SI"
2005-10-19	23.4991169220411	"SI"
2005-10-20	22.9939255595144	"SI"
2005-10-21	24.3022992701267	"SI"
2005-10-22	25.5931444447606	"SI"
2005-10-23	23.3379318356229	"SI"
2005-10-24	24.1012462881016	"SI"
2005-10-25	22.9450155490386	"SI"
2005-10-26	23.3796323305435	"SI"
2005-10-27	24.4841350402943	"SI"
2005-10-28	23.6995719801508	"SI"
2005-10-29	23.3910611428378	"SI"
2005-10-30	23.3972317877063	"SI"
2005-10-31	23.6967773659807	"SI"
2005-11-01	24.1017450965335	"SI"
2005-11-02	24.2414047874533	"SI"
2005-11-03	24.34984659107	"SI"
2005-11-04	23.8151083434435	"SI"
2005-11-05	22.7345850010497	"SI"
2005-11-06	23.212744440874	"SI"
2005-11-07	23.2464377678239	"SI"
2005-11-08	22.9997331572523	"SI"
2005-11-09	22.2995113024236	"SI"
2005-11-10	23.2927837958132	"SI"
2005-11-11	23.3501213039951	"SI"
2005-11-12	22.1887054400367	"SI"
2005-11-13	22.8869470139648	"SI"
2005-11-14	22.7973232257328	"SI"
2005-11-15	23.3875756259922	"SI"
2005-11-16	23.5279983249381	"SI"
2005-11-17	23.6959173034413	"SI"
2005-11-18	23.6906610194558	"SI"
2005-11-19	23.6050585324921	"SI"
2005-11-20	23.3239277577552	"SI"
2005-11-21	22.2711737157074	"SI"
2005-11-22	23.1597614193863	"SI"
