"Dates"	"Value"	"Modif"
2005-05-27	407.234677807394	"SI"
2005-05-28	466.567938537654	"SI"
2005-05-29	456.721326818549	"SI"
2005-05-30	414.399956661092	"SI"
2005-05-31	358.750748826187	"SI"
2005-06-01	285.680595234496	"SI"
2005-06-02	403.70956378022	"SI"
2005-06-03	416.303443758852	"SI"
2005-06-04	426.500393293432	"SI"
2005-06-05	276.477987483925	"SI"
2005-06-06	321.308259494312	"SI"
2005-06-07	374.958881702192	"SI"
2005-06-08	371.804769708993	"SI"
2005-06-09	418.905494329332	"SI"
2005-06-10	385.173604740932	"SI"
2005-06-11	338.430258128949	"SI"
2005-06-12	363.609142248551	"SI"
2005-06-13	296.301471810677	"SI"
2005-06-14	315.918329541677	"SI"
2005-06-15	440.265800513967	"SI"
2005-06-16	418.984905329939	"SI"
2005-06-17	415.785000270924	"SI"
2005-06-18	433.36601865455	"SI"
2005-06-19	401.498842639134	"SI"
2005-06-20	259.243755376209	"SI"
2005-06-21	432.678407118108	"SI"
2005-06-22	347.01186829185	"SI"
2005-06-23	269.519128295995	"SI"
2005-06-24	397.360829891481	"SI"
2005-06-25	305.391503262738	"SI"
2005-06-26	448.834206008773	"SI"
2005-06-27	400.776422082519	"SI"
2005-06-28	348.415792507801	"SI"
2005-06-29	361.660249226471	"SI"
2005-06-30	438.36465535447	"SI"
2005-07-01	307.934463832595	"SI"
2005-07-02	457.273057505946	"SI"
2005-07-03	372.487766049502	"SI"
2005-07-04	435.99670463658	"SI"
2005-07-05	410.017795223965	"SI"
2005-07-06	339.038561703598	"SI"
2005-07-07	420.350795549587	"SI"
2005-07-08	390.402323127416	"SI"
2005-07-09	333.123465720833	"SI"
2005-07-10	393.057215263917	"SI"
2005-07-11	381.525819081902	"SI"
2005-07-12	358.389112214884	"SI"
2005-07-13	284.37588339272	"SI"
2005-07-14	319.163586284132	"SI"
2005-07-15	410.970460767848	"SI"
2005-07-16	403.35835037506	"SI"
2005-07-17	360.558822611395	"SI"
2005-07-18	399.896842890395	"SI"
2005-07-19	292.768674011156	"SI"
2005-07-20	340.563227492842	"SI"
2005-07-21	394.646127443123	"SI"
2005-07-22	409.715129059312	"SI"
2005-07-23	394.898438703555	"SI"
2005-07-24	471.882699184043	"SI"
2005-07-25	293.835510611122	"SI"
2005-07-26	455.351528732631	"SI"
2005-07-27	435.88343678047	"SI"
2005-07-28	421.556065594015	"SI"
2005-07-29	443.627734221141	"SI"
2005-07-30	351.113567985109	"SI"
2005-07-31	438.012300000031	"SI"
2005-08-01	270.115992167186	"SI"
2005-08-02	403.005970236725	"SI"
2005-08-03	397.791556392235	"SI"
2005-08-04	404.668824571186	"SI"
2005-08-05	392.986389255956	"SI"
2005-08-06	407.139030571456	"SI"
2005-08-07	340.34640373121	"SI"
2005-08-08	412.869543616766	"SI"
2005-08-09	452.907220081159	"SI"
2005-08-10	353.97123727088	"SI"
2005-08-11	378.416842026479	"SI"
2005-08-12	366.848355680499	"SI"
2005-08-13	344.389031382113	"SI"
2005-08-14	428.700378955304	"SI"
2005-08-15	422.88033603704	"SI"
2005-08-16	363.931685266633	"SI"
2005-08-17	303.27755235729	"SI"
2005-08-18	329.99344645308	"SI"
2005-08-19	432.449061614505	"SI"
2005-08-20	430.12319408516	"SI"
2005-08-21	409.993056731474	"SI"
2005-08-22	418.286707610357	"SI"
2005-08-23	370.259716311197	"SI"
2005-08-24	402.931742848119	"SI"
2005-08-25	432.234113583829	"SI"
2005-08-26	452.346007200168	"SI"
2005-08-27	370.426477591752	"SI"
2005-08-28	434.878662063541	"SI"
2005-08-29	425.464723964825	"SI"
2005-08-30	381.319096254762	"SI"
2005-08-31	461.909204394211	"SI"
2005-09-01	450.759277931951	"SI"
2005-09-02	265.392392869756	"SI"
2005-09-03	420.837277193377	"SI"
2005-09-04	439.649468333572	"SI"
2005-09-05	401.133510121799	"SI"
2005-09-06	300.692992097298	"SI"
2005-09-07	432.727303386091	"SI"
2005-09-08	454.588935726575	"SI"
2005-09-09	341.923679861214	"SI"
2005-09-10	460.674237710286	"SI"
2005-09-11	432.023754084471	"SI"
2005-09-12	333.323816181054	"SI"
2005-09-13	389.018729539225	"SI"
2005-09-14	415.643649373186	"SI"
2005-09-15	430.809330157241	"SI"
2005-09-16	362.732093558524	"SI"
2005-09-17	468.729504461566	"SI"
2005-09-18	457.570082880514	"SI"
2005-09-19	251.515584137659	"SI"
2005-09-20	432.03804588252	"SI"
2005-09-21	232.464547475014	"SI"
2005-09-22	458.172254368236	"SI"
2005-09-23	403.39123942652	"SI"
2005-09-24	347.680281608193	"SI"
2005-09-25	379.717084611509	"SI"
2005-09-26	392.51943363408	"SI"
2005-09-27	416.508080901604	"SI"
2005-09-28	303.98964837237	"SI"
2005-09-29	396.775615941153	"SI"
2005-09-30	423.597562428739	"SI"
2005-10-01	400.579134154948	"SI"
2005-10-02	385.456261657871	"SI"
2005-10-03	450.501780585591	"SI"
2005-10-04	408.013180919447	"SI"
2005-10-05	429.990069583021	"SI"
2005-10-06	389.205070007257	"SI"
2005-10-07	257.249985415782	"SI"
2005-10-08	360.160673494247	"SI"
2005-10-09	393.567163134858	"SI"
2005-10-10	409.3446953066	"SI"
2005-10-11	450.24772939307	"SI"
2005-10-12	315.219359211202	"SI"
2005-10-13	400.47024584948	"SI"
2005-10-14	378.618445967853	"SI"
2005-10-15	461.843645645416	"SI"
2005-10-16	454.644586443809	"SI"
2005-10-17	446.644890482015	"SI"
2005-10-18	426.011892260684	"SI"
2005-10-19	466.138670914749	"SI"
2005-10-20	280.24239658836	"SI"
2005-10-21	412.56907915261	"SI"
2005-10-22	299.917059618038	"SI"
2005-10-23	407.491481978834	"SI"
2005-10-24	257.11092140208	"SI"
2005-10-25	308.581222139752	"SI"
2005-10-26	334.816366340248	"SI"
2005-10-27	341.469656005336	"SI"
2005-10-28	420.813047197186	"SI"
2005-10-29	393.835053965961	"SI"
2005-10-30	324.349608761702	"SI"
2005-10-31	359.065944152016	"SI"
2005-11-01	292.924046186427	"SI"
2005-11-02	247.909397425229	"SI"
2005-11-03	330.726487270833	"SI"
2005-11-04	348.705598818738	"SI"
2005-11-05	447.016296523606	"SI"
2005-11-06	460.684881516685	"SI"
2005-11-07	424.293771879978	"SI"
2005-11-08	400.590103335919	"SI"
